id,name,speech
1,GEORGE WASHINGTON,FIRST INAUGURAL
1,GEORGE WASHINGTON,SECOND INAUGURAL
2,JOHN ADAMS,INAUGURAL
3,THOMAS JEFFERSON,FIRST INAUGURAL
3,THOMAS JEFFERSON,SECOND INAUGURAL
4,JAMES MADISON,FIRST INAUGURAL
4,JAMES MADISON,SECOND INAUGURAL
5,JAMES MONROE,FIRST INAUGURAL
5,JAMES MONROE,SECOND INAUGURAL
6,JOHN QUINCY ADAMS,INAUGURAL
7,ANDREW JACKSON,FIRST INAUGURAL
7,ANDREW JACKSON,SECOND INAUGURAL
8,MARTIN VAN BUREN,INAUGURAL
9,WILLIAM HENRY HARRISON,INAUGURAL
11,JAMES KNOX POLK,INAUGURAL
12,ZACHARY TAYLOR,INAUGURAL
14,FRANKLIN PIERCE,INAUGURAL
15,JAMES BUCHANAN,INAUGURAL
16,ABRAHAM LINCOLN,FIRST INAUGURAL
16,ABRAHAM LINCOLN,SECOND INAUGURAL
18,ULYSSES S. GRANT,FIRST INAUGURAL
18,ULYSSES S. GRANT,SECOND INAUGURAL
19,RUTHERFORD B. HAYES,INAUGURAL
20,JAMES A. GARFIELD,INAUGURAL
22,GROVER CLEVELAND,FIRST INAUGURAL
23,BENJAMIN HARRISON,INAUGURAL
24,GROVER CLEVELAND,SECOND INAUGURAL
25,WILLIAM MCKINLEY,FIRST INAUGURAL
25,WILLIAM MCKINLEY,SECOND INAUGURAL
26,THEODORE ROOSEVELT,INAUGURAL
27,WILLIAM HOWARD TAFT,INAUGURAL
28,WOODROW WILSON,FIRST INAUGURAL
28,WOODROW WILSON,SECOND INAUGURAL
29,WARREN G. HARDING,INAUGURAL
30,CALVIN COOLIDGE,INAUGURAL
31,HERBERT HOOVER,INAUGURAL
32,FRANKLIN D. ROOSEVELT,FIRST INAUGURAL
32,FRANKLIN D. ROOSEVELT,SECOND INAUGURAL
32,FRANKLIN D. ROOSEVELT,THIRD INAUGURAL
32,FRANKLIN D. ROOSEVELT,FOURTH INAUGURAL
33,HARRY S. TRUMAN,INAUGURAL
34,DWIGHT D. EISENHOWER,FIRST INAUGURAL
34,DWIGHT D. EISENHOWER,SECOND INAUGURAL
35,JOHN F. KENNEDY,INAUGURAL
36,LYNDON BAINES JOHNSON,INAUGURAL
37,RICHARD MILHOUS NIXON,FIRST INAUGURAL
37,RICHARD MILHOUS NIXON,SECOND INAUGURAL
38,JIMMY CARTER,INAUGURAL
40,RONALD REAGAN,FIRST INAUGURAL
40,RONALD REAGAN,SECOND INAUGURAL
41,GEORGE BUSH,INAUGURAL
42,WILLIAM JEFFERSON CLINTON,FIRST INAUGURAL
42,WILLIAM JEFFERSON CLINTON,SECOND INAUGURAL
43,GEORGE W. BUSH,FIRST INAUGURAL
43,GEORGE W. BUSH,SECOND INAUGURAL
1,GEORGE WASHINGTON,STATE OF THE UNION
1,GEORGE WASHINGTON,STATE OF THE UNION
1,GEORGE WASHINGTON,STATE OF THE UNION
1,GEORGE WASHINGTON,STATE OF THE UNION
1,GEORGE WASHINGTON,STATE OF THE UNION
1,GEORGE WASHINGTON,STATE OF THE UNION
1,GEORGE WASHINGTON,STATE OF THE UNION
1,GEORGE WASHINGTON,STATE OF THE UNION
2,JOHN ADAMS,STATE OF THE UNION
2,JOHN ADAMS,STATE OF THE UNION
2,JOHN ADAMS,STATE OF THE UNION
2,JOHN ADAMS,STATE OF THE UNION
3,THOMAS JEFFERSON,STATE OF THE UNION
3,THOMAS JEFFERSON,STATE OF THE UNION
3,THOMAS JEFFERSON,STATE OF THE UNION
3,THOMAS JEFFERSON,STATE OF THE UNION
3,THOMAS JEFFERSON,STATE OF THE UNION
3,THOMAS JEFFERSON,STATE OF THE UNION
3,THOMAS JEFFERSON,STATE OF THE UNION
3,THOMAS JEFFERSON,STATE OF THE UNION
4,JAMES MADISON,STATE OF THE UNION
4,JAMES MADISON,STATE OF THE UNION
4,JAMES MADISON,STATE OF THE UNION
4,JAMES MADISON,STATE OF THE UNION
4,JAMES MADISON,STATE OF THE UNION
4,JAMES MADISON,STATE OF THE UNION
4,JAMES MADISON,STATE OF THE UNION
4,JAMES MADISON,STATE OF THE UNION
5,JAMES MONROE,STATE OF THE UNION
5,JAMES MONROE,STATE OF THE UNION
5,JAMES MONROE,STATE OF THE UNION
5,JAMES MONROE,STATE OF THE UNION
5,JAMES MONROE,STATE OF THE UNION
5,JAMES MONROE,STATE OF THE UNION
5,JAMES MONROE,STATE OF THE UNION
5,JAMES MONROE,STATE OF THE UNION
6,JOHN QUINCY ADAMS,STATE OF THE UNION
6,JOHN QUINCY ADAMS,STATE OF THE UNION
6,JOHN QUINCY ADAMS,STATE OF THE UNION
6,JOHN QUINCY ADAMS,STATE OF THE UNION
7,ANDREW JACKSON,STATE OF THE UNION
7,ANDREW JACKSON,STATE OF THE UNION
7,ANDREW JACKSON,STATE OF THE UNION
7,ANDREW JACKSON,STATE OF THE UNION
7,ANDREW JACKSON,STATE OF THE UNION
7,ANDREW JACKSON,STATE OF THE UNION
7,ANDREW JACKSON,STATE OF THE UNION
7,ANDREW JACKSON,STATE OF THE UNION
8,MARTIN VAN BUREN,STATE OF THE UNION
8,MARTIN VAN BUREN,STATE OF THE UNION
8,MARTIN VAN BUREN,STATE OF THE UNION
8,MARTIN VAN BUREN,STATE OF THE UNION
10,JOHN TYLER,STATE OF THE UNION
10,JOHN TYLER,STATE OF THE UNION
10,JOHN TYLER,STATE OF THE UNION
10,JOHN TYLER,STATE OF THE UNION
11,JAMES POLK,STATE OF THE UNION
11,JAMES POLK,STATE OF THE UNION
11,JAMES POLK,STATE OF THE UNION
11,JAMES POLK,STATE OF THE UNION
12,ZACHARY TAYLOR,STATE OF THE UNION
13,MILLARD FILLMORE,STATE OF THE UNION
13,MILLARD FILLMORE,STATE OF THE UNION
13,MILLARD FILLMORE,STATE OF THE UNION
14,FRANKLIN PIERCE,STATE OF THE UNION
14,FRANKLIN PIERCE,STATE OF THE UNION
14,FRANKLIN PIERCE,STATE OF THE UNION
14,FRANKLIN PIERCE,STATE OF THE UNION
15,JAMES BUCHANAN,STATE OF THE UNION
15,JAMES BUCHANAN,STATE OF THE UNION
15,JAMES BUCHANAN,STATE OF THE UNION
15,JAMES BUCHANAN,STATE OF THE UNION
16,ABRAHAM LINCOLN,STATE OF THE UNION
16,ABRAHAM LINCOLN,STATE OF THE UNION
16,ABRAHAM LINCOLN,STATE OF THE UNION
16,ABRAHAM LINCOLN,STATE OF THE UNION
17,ANDREW JOHNSON,STATE OF THE UNION
17,ANDREW JOHNSON,STATE OF THE UNION
17,ANDREW JOHNSON,STATE OF THE UNION
17,ANDREW JOHNSON,STATE OF THE UNION
18,ULYSSES S. GRANT,STATE OF THE UNION
18,ULYSSES S. GRANT,STATE OF THE UNION
18,ULYSSES S. GRANT,STATE OF THE UNION
18,ULYSSES S. GRANT,STATE OF THE UNION
18,ULYSSES S. GRANT,STATE OF THE UNION
18,ULYSSES S. GRANT,STATE OF THE UNION
18,ULYSSES S. GRANT,STATE OF THE UNION
18,ULYSSES S. GRANT,STATE OF THE UNION
19,RUTHERFORD B. HAYES,STATE OF THE UNION
19,RUTHERFORD B. HAYES,STATE OF THE UNION
19,RUTHERFORD B. HAYES,STATE OF THE UNION
19,RUTHERFORD B. HAYES,STATE OF THE UNION
21,CHESTER A. ARTHUR,STATE OF THE UNION
21,CHESTER A. ARTHUR,STATE OF THE UNION
21,CHESTER A. ARTHUR,STATE OF THE UNION
21,CHESTER A. ARTHUR,STATE OF THE UNION
22,GROVER CLEVELAND,STATE OF THE UNION
22,GROVER CLEVELAND,STATE OF THE UNION
22,GROVER CLEVELAND,STATE OF THE UNION
22,GROVER CLEVELAND,STATE OF THE UNION
23,BENJAMIN HARRISON,STATE OF THE UNION
23,BENJAMIN HARRISON,STATE OF THE UNION
23,BENJAMIN HARRISON,STATE OF THE UNION
23,BENJAMIN HARRISON,STATE OF THE UNION
25,WILLIAM MCKINLEY,STATE OF THE UNION
25,WILLIAM MCKINLEY,STATE OF THE UNION
25,WILLIAM MCKINLEY,STATE OF THE UNION
25,WILLIAM MCKINLEY,STATE OF THE UNION
26,THEODORE ROOSEVELT,STATE OF THE UNION
26,THEODORE ROOSEVELT,STATE OF THE UNION
26,THEODORE ROOSEVELT,STATE OF THE UNION
26,THEODORE ROOSEVELT,STATE OF THE UNION
26,THEODORE ROOSEVELT,STATE OF THE UNION
26,THEODORE ROOSEVELT,STATE OF THE UNION
26,THEODORE ROOSEVELT,STATE OF THE UNION
26,THEODORE ROOSEVELT,STATE OF THE UNION
27,WILLIAM H. TAFT,STATE OF THE UNION
27,WILLIAM H. TAFT,STATE OF THE UNION
27,WILLIAM H. TAFT,STATE OF THE UNION
27,WILLIAM H. TAFT,STATE OF THE UNION
28,WOODROW WILSON,STATE OF THE UNION
28,WOODROW WILSON,STATE OF THE UNION
28,WOODROW WILSON,STATE OF THE UNION
28,WOODROW WILSON,STATE OF THE UNION
28,WOODROW WILSON,STATE OF THE UNION
28,WOODROW WILSON,STATE OF THE UNION
28,WOODROW WILSON,STATE OF THE UNION
28,WOODROW WILSON,STATE OF THE UNION
29,WARREN HARDING,STATE OF THE UNION
29,WARREN HARDING,STATE OF THE UNION
30,CALVIN COOLIDGE,STATE OF THE UNION
30,CALVIN COOLIDGE,STATE OF THE UNION
30,CALVIN COOLIDGE,STATE OF THE UNION
30,CALVIN COOLIDGE,STATE OF THE UNION
30,CALVIN COOLIDGE,STATE OF THE UNION
30,CALVIN COOLIDGE,STATE OF THE UNION
31,HERBERT HOOVER,STATE OF THE UNION
31,HERBERT HOOVER,STATE OF THE UNION
31,HERBERT HOOVER,STATE OF THE UNION
31,HERBERT HOOVER,STATE OF THE UNION
32,FRANKLIN D. ROOSEVELT,STATE OF THE UNION
32,FRANKLIN D. ROOSEVELT,STATE OF THE UNION
32,FRANKLIN D. ROOSEVELT,STATE OF THE UNION
32,FRANKLIN D. ROOSEVELT,STATE OF THE UNION
32,FRANKLIN D. ROOSEVELT,STATE OF THE UNION
32,FRANKLIN D. ROOSEVELT,STATE OF THE UNION
32,FRANKLIN D. ROOSEVELT,STATE OF THE UNION
32,FRANKLIN D. ROOSEVELT,STATE OF THE UNION
32,FRANKLIN D. ROOSEVELT,STATE OF THE UNION
32,FRANKLIN D. ROOSEVELT,STATE OF THE UNION
32,FRANKLIN D. ROOSEVELT,STATE OF THE UNION
32,FRANKLIN D. ROOSEVELT,STATE OF THE UNION
33,HARRY S. TRUMAN,STATE OF THE UNION
33,HARRY S. TRUMAN,STATE OF THE UNION
33,HARRY S. TRUMAN,STATE OF THE UNION
33,HARRY S. TRUMAN,STATE OF THE UNION
33,HARRY S. TRUMAN,STATE OF THE UNION
33,HARRY S. TRUMAN,STATE OF THE UNION
33,HARRY S. TRUMAN,STATE OF THE UNION
33,HARRY S. TRUMAN,STATE OF THE UNION
34,DWIGHT D. EISENHOWER,STATE OF THE UNION
34,DWIGHT D. EISENHOWER,STATE OF THE UNION
34,DWIGHT D. EISENHOWER,STATE OF THE UNION
34,DWIGHT D. EISENHOWER,STATE OF THE UNION
34,DWIGHT D. EISENHOWER,STATE OF THE UNION
34,DWIGHT D. EISENHOWER,STATE OF THE UNION
34,DWIGHT D. EISENHOWER,STATE OF THE UNION
34,DWIGHT D. EISENHOWER,STATE OF THE UNION
34,DWIGHT D. EISENHOWER,STATE OF THE UNION
35,JOHN F. KENNEDY,STATE OF THE UNION
35,JOHN F. KENNEDY,STATE OF THE UNION
35,JOHN F. KENNEDY,STATE OF THE UNION
36,LYNDON B. JOHNSON,STATE OF THE UNION
36,LYNDON B. JOHNSON,STATE OF THE UNION
36,LYNDON B. JOHNSON,STATE OF THE UNION
36,LYNDON B. JOHNSON,STATE OF THE UNION
36,LYNDON B. JOHNSON,STATE OF THE UNION
36,LYNDON B. JOHNSON,STATE OF THE UNION
